type,prix,adresse,image_lien
chaussures,15 000CFA,"Mermoz-Sacré Coeur, Dakar, Sénégal",https://images.coinafrique.com/thumb_5406410_uploaded_image1_1751629967.jpg
chaussures,12 000CFA,"Yoff, Dakar, Sénégal",https://images.coinafrique.com/thumb_5427161_uploaded_image1_1752705753.jpg
chaussures,25 000CFA,"Fass, Dakar, Sénégal",https://images.coinafrique.com/thumb_5426252_uploaded_image1_1752671625.jpg
chaussures,20 000CFA,"Fass, Dakar, Sénégal",https://images.coinafrique.com/thumb_5426238_uploaded_image1_1752671136.jpg
chaussures,25 000CFA,"Fass, Dakar, Sénégal",https://images.coinafrique.com/thumb_5426236_uploaded_image1_1752670965.jpg
chaussures,4 500 000CFA,"Mermoz-Sacré Coeur, Dakar, Sénégal",https://images.coinafrique.com/thumb_5424516_uploaded_image1_1752591026.jpg
chaussures,20 000CFA,"Grand Yoff, Dakar, Sénégal",https://images.coinafrique.com/thumb_5422221_uploaded_image1_1752482543.jpg
chaussures,20 000CFA,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_5422186_uploaded_image1_1752481465.jpg
chaussures,25 000CFA,"Ouest Foire, Dakar, Sénégal",https://images.coinafrique.com/thumb_5421632_uploaded_image1_1752437567.jpg
chaussures,8 500CFA,"Keur Massar, Sénégal",https://images.coinafrique.com/thumb_5419796_uploaded_image1_1752318748.jpg
chaussures,25 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5415335_uploaded_image1_1752087446.jpg
chaussures,28 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5413151_uploaded_image1_1751991507.jpg
chaussures,25 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5413093_uploaded_image1_1751989068.jpg
chaussures,15 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5413092_uploaded_image1_1751988865.jpg
chaussures,5 500CFA,"Sicap Liberté, Dakar, Sénégal",https://images.coinafrique.com/thumb_5409504_uploaded_image1_1751807094.jpg
chaussures,5 000CFA,"Keur Massar, Sénégal",https://images.coinafrique.com/thumb_5407551_uploaded_image1_1751666763.jpg
chaussures,23 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5405139_uploaded_image1_1751566693.jpg
chaussures,Prix sur demande,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5405136_uploaded_image1_1751566608.jpg
chaussures,18 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5380946_uploaded_image1_1750267531.jpg
chaussures,25 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5366456_uploaded_image1_1749474268.jpg
chaussures,30 000CFA,"Ouest Foire, Dakar, Sénégal",https://images.coinafrique.com/thumb_5403613_uploaded_image1_1751513745.jpg
chaussures,9 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5379660_uploaded_image1_1750203700.jpg
chaussures,9 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5379657_uploaded_image1_1750203622.jpg
chaussures,20 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5384805_uploaded_image1_1750461330.jpg
chaussures,30 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5365750_uploaded_image1_1749419182.jpg
chaussures,30 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5365745_uploaded_image1_1749419070.jpg
chaussures,30 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5365741_uploaded_image1_1749418889.jpg
chaussures,10 000CFA,"Medina, Dakar, Sénégal",https://images.coinafrique.com/thumb_5403324_uploaded_image1_1751494857.jpg
chaussures,20 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5365752_uploaded_image1_1749419261.jpg
chaussures,30 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5365755_uploaded_image1_1749419366.jpg
chaussures,22 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5365735_uploaded_image1_1749418626.jpg
chaussures,20 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5365739_uploaded_image1_1749418736.jpg
chaussures,35 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5365729_uploaded_image1_1749418455.jpg
chaussures,20 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5365715_uploaded_image1_1749417986.jpg
chaussures,25 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5365721_uploaded_image1_1749418247.jpg
chaussures,27 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5365720_uploaded_image1_1749418139.jpg
