type,prix,adresse,image_lien
habits,10 000CFA,"Fass, Dakar, Sénégal",https://images.coinafrique.com/thumb_5427239_uploaded_image1_1752708596.jpg
habits,10 000CFA,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_5374426_uploaded_image1_1749913743.jpg
habits,3 500CFA,"Sicap Liberté, Dakar, Sénégal",https://images.coinafrique.com/thumb_5411543_uploaded_image1_1751909046.jpg
habits,10 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5365674_uploaded_image1_1749416491.jpg
habits,7 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5364583_uploaded_image1_1749330317.jpg
habits,8 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5364552_uploaded_image1_1749328164.jpg
habits,8 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5364545_uploaded_image1_1749327684.jpg
habits,7 000CFA,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_5344465_uploaded_image1_1748167330.jpg
habits,10 000CFA,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_5344473_uploaded_image1_1748167713.jpg
habits,4 000CFA,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_5344468_uploaded_image1_1748167535.jpg
habits,8 000CFA,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_5344462_uploaded_image1_1748167236.jpg
habits,7 000CFA,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_5342641_uploaded_image1_1748035425.jpg
habits,7 000CFA,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_5342650_uploaded_image1_1748035854.jpg
habits,7 000CFA,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_5342643_uploaded_image1_1748035562.jpg
habits,7 000CFA,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_5342638_uploaded_image1_1748035029.jpg
habits,4 000CFA,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_5342633_uploaded_image1_1748034778.jpg
habits,7 000CFA,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_5342628_uploaded_image1_1748034550.jpg
habits,1 500CFA,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_5342624_uploaded_image1_1748034284.jpg
habits,Prix sur demande,"HLM, Dakar, Sénégal",https://images.coinafrique.com/thumb_5385373_uploaded_image1_1750509886.51.jpeg
habits,Prix sur demande,"HLM, Dakar, Sénégal",https://images.coinafrique.com/thumb_5385364_uploaded_image1_1750509649.41.jpeg
habits,Prix sur demande,"HLM, Dakar, Sénégal",https://images.coinafrique.com/thumb_5385356_uploaded_image1_1750509151.08.jpeg
habits,4 000CFA,"HLM, Dakar, Sénégal",https://images.coinafrique.com/thumb_5385294_uploaded_image1_1750506744.37.jpeg
habits,8 000CFA,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_5328806_uploaded_image1_1747290315.jpg
habits,Prix sur demande,"Ouakam, Dakar, Sénégal",https://images.coinafrique.com/thumb_5336896_uploaded_image1_1747744426.jpg
habits,7 000CFA,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_5290112_uploaded_image1_1745150419.jpg
habits,6 000CFA,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_5289213_uploaded_image1_1745070585.jpg
habits,Prix sur demande,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_5281282_uploaded_image1_1744639610.jpg
habits,Prix sur demande,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_5281278_uploaded_image1_1744639447.jpg
habits,3 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5321500_uploaded_image1_1746889004.jpg
habits,Prix sur demande,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5312820_uploaded_image1_1746452801.jpg
habits,Prix sur demande,"Mamelles, Dakar, Sénégal",https://images.coinafrique.com/thumb_5310010_uploaded_image1_1746279800.jpg
habits,6 000CFA,"Diamalaye 1, Dakar, Sénégal",https://images.coinafrique.com/thumb_5309005_uploaded_image1_1746217976.jpg
habits,6 000CFA,"Diamalaye 1, Dakar, Sénégal",https://images.coinafrique.com/thumb_5309001_uploaded_image1_1746217790.jpg
habits,6 000CFA,"Diamalaye 1, Dakar, Sénégal",https://images.coinafrique.com/thumb_5308995_uploaded_image1_1746217632.jpg
habits,15 000CFA,"Fass, Dakar, Sénégal",https://images.coinafrique.com/thumb_5263591_uploaded_image1_1743688903.jpg
habits,10 000CFA,"Fass, Dakar, Sénégal",https://images.coinafrique.com/thumb_5263587_uploaded_image1_1743688774.jpg
habits,7 500CFA,"Fass, Dakar, Sénégal",https://images.coinafrique.com/thumb_5257015_uploaded_image1_1743325512.jpg
habits,1 000CFA,"Fass, Dakar, Sénégal",https://images.coinafrique.com/thumb_5256504_uploaded_image1_1743272005.jpg
habits,15 000CFA,"Fass, Dakar, Sénégal",https://images.coinafrique.com/thumb_5243665_uploaded_image1_1742560242.jpg
habits,Prix sur demande,"Fass, Dakar, Sénégal",https://images.coinafrique.com/thumb_5283049_uploaded_image1_1744729140.jpg
habits,Prix sur demande,"Fass, Dakar, Sénégal",https://images.coinafrique.com/thumb_5283005_uploaded_image1_1744727750.jpg
