type,prix,adresse,image_lien
habits,6 000CFA,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_5409459_uploaded_image1_1751803940.jpg
habits,3 000CFA,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_5409451_uploaded_image1_1751803676.jpg
habits,3 000CFA,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_5409455_uploaded_image1_1751803857.jpg
habits,12 500CFA,"Fass, Dakar, Sénégal",https://images.coinafrique.com/thumb_5389835_uploaded_image1_1750768990.jpg
habits,15 000CFA,"Fass, Dakar, Sénégal",https://images.coinafrique.com/thumb_5402965_uploaded_image1_1751479836.jpg
habits,4 000CFA,"Medina, Dakar, Sénégal",https://images.coinafrique.com/thumb_5422821_uploaded_image1_1752506033.jpg
habits,8 000CFA,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_5422160_uploaded_image1_1752480748.jpg
habits,8 000CFA,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_5422157_uploaded_image1_1752480645.jpg
habits,7 000CFA,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_5422133_uploaded_image1_1752479744.jpg
habits,150CFA,"Parcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_5421926_uploaded_image1_1752455963.jpg
habits,150CFA,"Parcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_5421925_uploaded_image1_1752455865.jpg
habits,150CFA,"Parcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_5421924_uploaded_image1_1752455779.jpg
habits,8 000CFA,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_5374565_uploaded_image1_1749920402.jpg
habits,8 000CFA,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_5374534_uploaded_image1_1749919474.jpg
habits,10 000CFA,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_5374540_uploaded_image1_1749919718.jpg
habits,10 000CFA,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_5374538_uploaded_image1_1749919612.jpg
habits,Prix sur demande,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_5374410_uploaded_image1_1749913289.jpg
habits,15 000CFA,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_5374420_uploaded_image1_1749913604.jpg
habits,10 000CFA,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_5374415_uploaded_image1_1749913505.jpg
habits,15 000CFA,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_5374429_uploaded_image1_1749913872.jpg
habits,11 000CFA,"Mbao, Dakar, Sénégal",https://images.coinafrique.com/thumb_5421027_uploaded_image1_1752406068.jpg
habits,3 200CFA,"Ouest Foire, Dakar, Sénégal",https://images.coinafrique.com/thumb_5419314_uploaded_image1_1752289765.jpg
habits,12 000CFA,"Ouest Foire, Dakar, Sénégal",https://images.coinafrique.com/thumb_5419311_uploaded_image1_1752289554.jpg
habits,35 000CFA,"Guediawaye, Dakar, Sénégal",https://images.coinafrique.com/thumb_5414801_uploaded_image1_1752066925.jpg
habits,8 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5405576_uploaded_image1_1751582047.jpg
habits,7 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5380940_uploaded_image1_1750267409.jpg
habits,9 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5380938_uploaded_image1_1750267359.jpg
habits,1 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5366447_uploaded_image1_1749473882.jpg
habits,8 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5379655_uploaded_image1_1750203441.jpg
habits,14 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5379656_uploaded_image1_1750203540.jpg
habits,10 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5362186_uploaded_image1_1749145293.jpg
habits,7 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5387381_uploaded_image1_1750640217.jpg
habits,15 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5387379_uploaded_image1_1750639839.jpg
habits,8 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5361125_uploaded_image1_1749079937.jpg
habits,7 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5364547_uploaded_image1_1749327860.jpg
habits,7 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5387074_uploaded_image1_1750620178.jpg
habits,6 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5387071_uploaded_image1_1750620076.jpg
habits,6 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5360742_uploaded_image1_1749062707.jpg
habits,6 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5360732_uploaded_image1_1749062350.jpg
habits,10 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5360719_uploaded_image1_1749061877.jpg
habits,7 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5386899_uploaded_image1_1750612630.jpg
habits,3 500CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5386893_uploaded_image1_1750612508.jpg
habits,3 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5368256_uploaded_image1_1749572783.jpg
habits,9 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5377282_uploaded_image1_1750088802.jpg
habits,7 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5360049_uploaded_image1_1749038004.jpg
habits,9 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5359855_uploaded_image1_1749031695.jpg
habits,3 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5381842_uploaded_image1_1750327249.jpg
habits,6 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5376211_uploaded_image1_1750033082.jpg
habits,6 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5376209_uploaded_image1_1750033001.jpg
habits,7 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5359319_uploaded_image1_1748991293.jpg
habits,7 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5359212_uploaded_image1_1748985772.jpg
habits,8 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5359195_uploaded_image1_1748985264.jpg
habits,7 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5359190_uploaded_image1_1748985019.jpg
habits,5 000CFA,"Grand Yoff, Dakar, Sénégal",https://images.coinafrique.com/thumb_5396595_uploaded_image1_1751139172.jpg
habits,10 000CFA,"Mariste, Dakar, Sénégal",https://images.coinafrique.com/thumb_5396366_uploaded_image1_1751130805.jpg
habits,Prix sur demande,"Fass, Dakar, Sénégal",https://images.coinafrique.com/thumb_5394599_uploaded_image2_1751021076.jpeg
habits,20 000CFA,"Fass, Dakar, Sénégal",https://images.coinafrique.com/thumb_5392633_uploaded_image1_1750904042.jpg
habits,20 000CFA,"Fass, Dakar, Sénégal",https://images.coinafrique.com/thumb_5392632_uploaded_image1_1750903985.jpg
habits,20 000CFA,"Fass, Dakar, Sénégal",https://images.coinafrique.com/thumb_5392631_uploaded_image1_1750903932.jpg
habits,20 000CFA,"Fass, Dakar, Sénégal",https://images.coinafrique.com/thumb_5392630_uploaded_image1_1750903817.jpg
habits,10 500CFA,"Sicap Liberté, Dakar, Sénégal",https://images.coinafrique.com/thumb_5390305_uploaded_image1_1750787966.jpg
habits,8 000CFA,"Fann, Dakar, Sénégal",https://images.coinafrique.com/thumb_5390008_uploaded_image1_1750777634.jpg
habits,10 000CFA,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_5388869_uploaded_image1_1750707151.jpg
habits,10 000CFA,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_5388860_uploaded_image1_1750707013.jpg
habits,20 000CFA,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_5388857_uploaded_image1_1750706864.jpg
habits,25 000CFA,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_5340703_uploaded_image1_1747926660.jpg
habits,600CFA,"Parcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_5379374_uploaded_image1_1750189453.jpg
habits,6 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5335983_uploaded_image1_1747682531.jpg
habits,13 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5335976_uploaded_image1_1747682377.jpg
habits,1 500CFA,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_5328829_uploaded_image1_1747292067.jpg
habits,850 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5371023_uploaded_image2_1749727035.jpeg
habits,18 000CFA,"Keur Massar, Sénégal",https://images.coinafrique.com/thumb_5333594_uploaded_image1_1747550498.jpg
habits,12 000CFA,"Parcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_5369347_uploaded_image1_1749639509.jpg
habits,8 000CFA,"Parcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_5369345_uploaded_image1_1749639320.jpg
