web-scraper-order,web-scraper-start-url,container_chaussures-enfant,container_chaussures-enfant-href,type chaussures,prix,adresse,image_lien-src
"1752762708-1","https://sn.coinafrique.com/categorie/chaussures-enfants?page=8","Chaussures enfant","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfant-750016","Chaussures enfant","Prix sur demande","Guédiawaye, Dakar, Sénégal","https://images.coinafrique.com/thumb_750022_uploaded_image1_1563279678.59.png"
"1752762708-2","https://sn.coinafrique.com/categorie/chaussures-enfants?page=8","Chaussures enfant","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfant-750016","Chaussures enfant","Prix sur demande","Guédiawaye, Dakar, Sénégal","https://images.coinafrique.com/thumb_750016_uploaded_image1_1563279645.35.png"
"1752762708-3","https://sn.coinafrique.com/categorie/chaussures-enfants?page=8","Chaussures enfant","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfant-750016","Chaussures enfants","12 000 CFA","Guediawaye, Dakar, Sénégal","https://images.coinafrique.com/thumb_4111498_uploaded_image1_1677508687.jpg"
"1752762708-4","https://sn.coinafrique.com/categorie/chaussures-enfants?page=8","Chaussures enfant","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfant-750016","Chaussures enfant","10 000 CFA","Guediawaye, Dakar, Sénégal","https://images.coinafrique.com/thumb_3513868_uploaded_image1_1641563929.jpg"
"1752762708-5","https://sn.coinafrique.com/categorie/chaussures-enfants?page=8","Chaussures enfant","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfant-750016","Chaussures enfant","6 000 CFA","Guediawaye, Dakar, Sénégal","https://images.coinafrique.com/thumb_3365662_uploaded_image1_1633268172.jpg"
"1752762708-6","https://sn.coinafrique.com/categorie/chaussures-enfants?page=8","Chaussures enfant","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfant-750016","Claquettes enfants","6 000 CFA","Guediawaye, Dakar, Sénégal","https://images.coinafrique.com/thumb_2795343_uploaded_image1_1606666445.jpg"
"1752762708-7","https://sn.coinafrique.com/categorie/chaussures-enfants?page=8","Chaussures enfant","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfant-750016","Chaussures enfant","Prix sur demande","Guediawaye, Dakar, Sénégal","https://images.coinafrique.com/thumb_2430002_uploaded_image1_1594558582.jpg"
"1752762708-8","https://sn.coinafrique.com/categorie/chaussures-enfants?page=8","Chaussures enfant","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfant-750016","Chaussures enfants","Prix sur demande","Guediawaye, Dakar, Sénégal","https://images.coinafrique.com/thumb_1215779_uploaded_image1_1574081577.15.png"
"1752762708-9","https://sn.coinafrique.com/categorie/chaussures-enfants?page=8","Chaussures enfant","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfant-750016","Chaussures enfant","3 500 CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_1270845_uploaded_image1_1575041164.15.png"
"1752762708-10","https://sn.coinafrique.com/categorie/chaussures-enfants?page=8","Chaussures enfant","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfant-750016","Chaussures pour enfants","2 500 CFA","Pikine, Sénégal","https://images.coinafrique.com/thumb_4775765_uploaded_image1_1717362018.jpg"
"1752762708-11","https://sn.coinafrique.com/categorie/chaussures-enfants?page=8","Chaussures enfant","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfant-750016","Chaussures enfants","3 000 CFA","Keur Massar, Sénégal","https://images.coinafrique.com/thumb_4797078_uploaded_image1_1718482814.jpg"
"1752762708-12","https://sn.coinafrique.com/categorie/chaussures-enfants?page=8","Chaussures enfant","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfant-750016","Chaussures pour enfant","3 000 CFA","Keur Massar, Sénégal","https://images.coinafrique.com/thumb_997837_uploaded_image1_1569622630.58.png"
"1752762712-13","https://sn.coinafrique.com/categorie/chaussures-enfants?page=8","Chaussures enfant","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfant-750022","Chaussures enfant","Prix sur demande","Guédiawaye, Dakar, Sénégal","https://images.coinafrique.com/thumb_750022_uploaded_image1_1563279678.59.png"
"1752762712-14","https://sn.coinafrique.com/categorie/chaussures-enfants?page=8","Chaussures enfant","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfant-750022","Chaussures enfant","Prix sur demande","Guédiawaye, Dakar, Sénégal","https://images.coinafrique.com/thumb_750016_uploaded_image1_1563279645.35.png"
