web-scraper-order,web-scraper-start-url,type chausssure,prix,adreesse,image_lien-src,container_chaussures-homme,container_chaussures-homme-href
"1752732112-1","https://sn.coinafrique.com/categorie/chaussures-homme?page=10","Chaussures homme","10 000 CFA","Dakar Plateau, Dakar, Sénégal","https://images.coinafrique.com/thumb_5332090_uploaded_image1_1747434845.jpg","Chaussures homme","https://sn.coinafrique.com/annonce/chaussures-homme/chaussures-homme-4914404"
"1752732112-2","https://sn.coinafrique.com/categorie/chaussures-homme?page=10","Chaussures homme","Prix sur demande","Dakar Plateau, Dakar, Sénégal","https://images.coinafrique.com/thumb_5332091_uploaded_image1_1747434908.jpg","Chaussures homme","https://sn.coinafrique.com/annonce/chaussures-homme/chaussures-homme-4914404"
"1752732112-3","https://sn.coinafrique.com/categorie/chaussures-homme?page=10","Chaussures homme","Prix sur demande","Dakar Plateau, Dakar, Sénégal","https://images.coinafrique.com/thumb_5341256_uploaded_image1_1747953772.jpg","Chaussures homme","https://sn.coinafrique.com/annonce/chaussures-homme/chaussures-homme-4914404"
"1752732112-4","https://sn.coinafrique.com/categorie/chaussures-homme?page=10","Chaussures homme","Prix sur demande","Dakar Plateau, Dakar, Sénégal","https://images.coinafrique.com/thumb_5341258_uploaded_image1_1747953837.jpg","Chaussures homme","https://sn.coinafrique.com/annonce/chaussures-homme/chaussures-homme-4914404"
"1752732112-5","https://sn.coinafrique.com/categorie/chaussures-homme?page=10","Chaussures homme","18 000 CFA","Dakar Plateau, Dakar, Sénégal","https://images.coinafrique.com/thumb_5341252_uploaded_image1_1747953598.jpg","Chaussures homme","https://sn.coinafrique.com/annonce/chaussures-homme/chaussures-homme-4914404"
"1752732112-6","https://sn.coinafrique.com/categorie/chaussures-homme?page=10","Chaussures homme","10 000 CFA","Dakar Plateau, Dakar, Sénégal","https://images.coinafrique.com/thumb_5342583_uploaded_image1_1748031990.jpg","Chaussures homme","https://sn.coinafrique.com/annonce/chaussures-homme/chaussures-homme-4914404"
"1752732112-7","https://sn.coinafrique.com/categorie/chaussures-homme?page=10","Chaussures homme","18 000 CFA","Dakar Plateau, Dakar, Sénégal","https://images.coinafrique.com/thumb_5342587_uploaded_image1_1748032191.jpg","Chaussures homme","https://sn.coinafrique.com/annonce/chaussures-homme/chaussures-homme-4914404"
"1752732112-8","https://sn.coinafrique.com/categorie/chaussures-homme?page=10","Chaussures homme","13 000 CFA","Dakar Plateau, Dakar, Sénégal","https://images.coinafrique.com/thumb_5329841_uploaded_image1_1747328617.jpg","Chaussures homme","https://sn.coinafrique.com/annonce/chaussures-homme/chaussures-homme-4914404"
"1752732112-9","https://sn.coinafrique.com/categorie/chaussures-homme?page=10","Chaussures homme","16 000 CFA","Dakar Plateau, Dakar, Sénégal","https://images.coinafrique.com/thumb_5329838_uploaded_image1_1747328563.jpg","Chaussures homme","https://sn.coinafrique.com/annonce/chaussures-homme/chaussures-homme-4914404"
"1752732112-10","https://sn.coinafrique.com/categorie/chaussures-homme?page=10","Chaussures homme","18 000 CFA","Dakar Plateau, Dakar, Sénégal","https://images.coinafrique.com/thumb_5339072_uploaded_image1_1747848346.jpg","Chaussures homme","https://sn.coinafrique.com/annonce/chaussures-homme/chaussures-homme-4914404"
"1752732112-11","https://sn.coinafrique.com/categorie/chaussures-homme?page=10","Chaussures homme","20 000 CFA","Dakar Plateau, Dakar, Sénégal","https://images.coinafrique.com/thumb_5339056_uploaded_image1_1747847898.jpg","Chaussures homme","https://sn.coinafrique.com/annonce/chaussures-homme/chaussures-homme-4914404"
"1752732112-12","https://sn.coinafrique.com/categorie/chaussures-homme?page=10","Chaussures homme","16 000 CFA","Dakar Plateau, Dakar, Sénégal","https://images.coinafrique.com/thumb_5339050_uploaded_image1_1747847679.jpg","Chaussures homme","https://sn.coinafrique.com/annonce/chaussures-homme/chaussures-homme-4914404"
"1752732126-13","https://sn.coinafrique.com/categorie/chaussures-homme?page=10","Chaussures homme","10 000 CFA","Dakar Plateau, Dakar, Sénégal","https://images.coinafrique.com/thumb_5332090_uploaded_image1_1747434845.jpg","Chaussures homme","https://sn.coinafrique.com/annonce/chaussures-homme/chaussures-homme-4900569"
"1752732126-14","https://sn.coinafrique.com/categorie/chaussures-homme?page=10","Chaussures homme","Prix sur demande","Dakar Plateau, Dakar, Sénégal","https://images.coinafrique.com/thumb_5332091_uploaded_image1_1747434908.jpg","Chaussures homme","https://sn.coinafrique.com/annonce/chaussures-homme/chaussures-homme-4900569"
"1752732126-15","https://sn.coinafrique.com/categorie/chaussures-homme?page=10","Chaussures homme","Prix sur demande","Dakar Plateau, Dakar, Sénégal","https://images.coinafrique.com/thumb_5341256_uploaded_image1_1747953772.jpg","Chaussures homme","https://sn.coinafrique.com/annonce/chaussures-homme/chaussures-homme-4900569"
"1752732126-16","https://sn.coinafrique.com/categorie/chaussures-homme?page=10","Chaussures homme","Prix sur demande","Dakar Plateau, Dakar, Sénégal","https://images.coinafrique.com/thumb_5341258_uploaded_image1_1747953837.jpg","Chaussures homme","https://sn.coinafrique.com/annonce/chaussures-homme/chaussures-homme-4900569"
"1752732126-17","https://sn.coinafrique.com/categorie/chaussures-homme?page=10","Chaussures homme","18 000 CFA","Dakar Plateau, Dakar, Sénégal","https://images.coinafrique.com/thumb_5341252_uploaded_image1_1747953598.jpg","Chaussures homme","https://sn.coinafrique.com/annonce/chaussures-homme/chaussures-homme-4900569"
"1752732126-18","https://sn.coinafrique.com/categorie/chaussures-homme?page=10","Chaussures homme","10 000 CFA","Dakar Plateau, Dakar, Sénégal","https://images.coinafrique.com/thumb_5342583_uploaded_image1_1748031990.jpg","Chaussures homme","https://sn.coinafrique.com/annonce/chaussures-homme/chaussures-homme-4900569"
"1752732126-19","https://sn.coinafrique.com/categorie/chaussures-homme?page=10","Chaussures homme","18 000 CFA","Dakar Plateau, Dakar, Sénégal","https://images.coinafrique.com/thumb_5342587_uploaded_image1_1748032191.jpg","Chaussures homme","https://sn.coinafrique.com/annonce/chaussures-homme/chaussures-homme-4900569"
"1752732126-20","https://sn.coinafrique.com/categorie/chaussures-homme?page=10","Chaussures homme","13 000 CFA","Dakar Plateau, Dakar, Sénégal","https://images.coinafrique.com/thumb_5329841_uploaded_image1_1747328617.jpg","Chaussures homme","https://sn.coinafrique.com/annonce/chaussures-homme/chaussures-homme-4900569"
"1752732126-21","https://sn.coinafrique.com/categorie/chaussures-homme?page=10","Chaussures homme","16 000 CFA","Dakar Plateau, Dakar, Sénégal","https://images.coinafrique.com/thumb_5329838_uploaded_image1_1747328563.jpg","Chaussures homme","https://sn.coinafrique.com/annonce/chaussures-homme/chaussures-homme-4900569"
