web-scraper-order,web-scraper-start-url,type habits,prix,adresse,image_lien-src,container_vetements-enfant,container_vetements-enfant-href
"1752743986-1","https://sn.coinafrique.com/categorie/vetements-enfants?page=10","Tunique enfants","12 000 CFA","Saint Louis, Sénégal","https://images.coinafrique.com/thumb_2796561_uploaded_image1_1606730811.jpg","Tunique enfants","https://sn.coinafrique.com/annonce/vetements-enfants/tunique-enfants-2796561"
"1752743986-2","https://sn.coinafrique.com/categorie/vetements-enfants?page=10","Tunique enfant","Prix sur demande","Rufisque, Sénégal","https://images.coinafrique.com/thumb_3087733_uploaded_image1_1619763855.jpg","Tunique enfants","https://sn.coinafrique.com/annonce/vetements-enfants/tunique-enfants-2796561"
"1752743986-3","https://sn.coinafrique.com/categorie/vetements-enfants?page=10","Tunique enfant","Prix sur demande","Grand Yoff, Dakar, Sénégal","https://images.coinafrique.com/thumb_2188090_uploaded_image1_1590683954.jpg","Tunique enfants","https://sn.coinafrique.com/annonce/vetements-enfants/tunique-enfants-2796561"
"1752743986-4","https://sn.coinafrique.com/categorie/vetements-enfants?page=10","Tuniques enfant","20 000 CFA","Fann, Dakar, Sénégal","https://images.coinafrique.com/thumb_2066977_uploaded_image1_1588770353.jpg","Tunique enfants","https://sn.coinafrique.com/annonce/vetements-enfants/tunique-enfants-2796561"
"1752743986-5","https://sn.coinafrique.com/categorie/vetements-enfants?page=10","Tuniques enfants","Prix sur demande","Sénégal","https://images.coinafrique.com/thumb_2051266_uploaded_image1_1588537693.14.jpeg","Tunique enfants","https://sn.coinafrique.com/annonce/vetements-enfants/tunique-enfants-2796561"
"1752744013-6","https://sn.coinafrique.com/categorie/vetements-enfants?page=10","Ensemble bébé","7 000 CFA","HLM, Dakar, Sénégal","https://images.coinafrique.com/thumb_3396563_uploaded_image1_1634810875.jpg","Ensemble bébé","https://sn.coinafrique.com/annonce/vetements-enfants/ensemble-bebe-2798209"
"1752744013-7","https://sn.coinafrique.com/categorie/vetements-enfants?page=10","Ensemble bébé","11 000 CFA","Grand Yoff, Dakar, Sénégal","https://images.coinafrique.com/thumb_2743223_uploaded_image1_1604671783.jpg","Ensemble bébé","https://sn.coinafrique.com/annonce/vetements-enfants/ensemble-bebe-2798209"
"1752744013-8","https://sn.coinafrique.com/categorie/vetements-enfants?page=10","Ensemble robe  bébé","5 500 CFA","Grand Yoff, Dakar, Sénégal","https://images.coinafrique.com/thumb_2732121_uploaded_image1_1604324288.jpg","Ensemble bébé","https://sn.coinafrique.com/annonce/vetements-enfants/ensemble-bebe-2798209"
"1752744013-9","https://sn.coinafrique.com/categorie/vetements-enfants?page=10","Vêtements enfants","7 000 CFA","Parcelle Assainies, Dakar, Sénégal","https://images.coinafrique.com/thumb_2851844_uploaded_image1_1608894466.jpg","Ensemble bébé","https://sn.coinafrique.com/annonce/vetements-enfants/ensemble-bebe-2798209"
"1752744013-10","https://sn.coinafrique.com/categorie/vetements-enfants?page=10","Ensemble enfant coton 100%","12 000 CFA","Guediawaye, Dakar, Sénégal","https://images.coinafrique.com/thumb_2736363_uploaded_image1_1604448852.jpg","Ensemble bébé","https://sn.coinafrique.com/annonce/vetements-enfants/ensemble-bebe-2798209"
