web-scraper-order,web-scraper-start-url,type habits,prix,adresse,image_lien-src,container_vetements-homme,container_vetements-homme-href
"1752731741-1","https://sn.coinafrique.com/categorie/vetements-homme?page=10","Pantalon Kaki","8 000 CFA","Dakar Plateau, Dakar, Sénégal","https://images.coinafrique.com/thumb_5422160_uploaded_image1_1752480748.jpg","Pantalon Kaki","https://sn.coinafrique.com/annonce/vetements-homme/pantalon-kaki-4814470"
"1752731741-2","https://sn.coinafrique.com/categorie/vetements-homme?page=10","Pantalon Kaki","7 000 CFA","Dakar Plateau, Dakar, Sénégal","https://images.coinafrique.com/thumb_5296688_uploaded_image1_1745511640.jpg","Pantalon Kaki","https://sn.coinafrique.com/annonce/vetements-homme/pantalon-kaki-4814470"
"1752731741-3","https://sn.coinafrique.com/categorie/vetements-homme?page=10","Pantalon Kaki","7 000 CFA","Dakar Plateau, Dakar, Sénégal","https://images.coinafrique.com/thumb_5283174_uploaded_image1_1744733626.jpg","Pantalon Kaki","https://sn.coinafrique.com/annonce/vetements-homme/pantalon-kaki-4814470"
"1752731741-4","https://sn.coinafrique.com/categorie/vetements-homme?page=10","Pantalon Kaki","7 000 CFA","Dakar Plateau, Dakar, Sénégal","https://images.coinafrique.com/thumb_5283137_uploaded_image1_1744732888.jpg","Pantalon Kaki","https://sn.coinafrique.com/annonce/vetements-homme/pantalon-kaki-4814470"
"1752731741-5","https://sn.coinafrique.com/categorie/vetements-homme?page=10","Pantalon Kaki","7 000 CFA","Dakar Plateau, Dakar, Sénégal","https://images.coinafrique.com/thumb_5276085_uploaded_image1_1744312243.jpg","Pantalon Kaki","https://sn.coinafrique.com/annonce/vetements-homme/pantalon-kaki-4814470"
"1752731741-6","https://sn.coinafrique.com/categorie/vetements-homme?page=10","Pantalons kaki","7 000 CFA","Dakar Plateau, Dakar, Sénégal","https://images.coinafrique.com/thumb_5103711_uploaded_image1_1734928985.jpg","Pantalon Kaki","https://sn.coinafrique.com/annonce/vetements-homme/pantalon-kaki-4814470"
"1752731741-7","https://sn.coinafrique.com/categorie/vetements-homme?page=10","Pantalon Kaki","8 000 CFA","Dakar Plateau, Dakar, Sénégal","https://images.coinafrique.com/thumb_4935721_uploaded_image1_1725900754.jpg","Pantalon Kaki","https://sn.coinafrique.com/annonce/vetements-homme/pantalon-kaki-4814470"
"1752731741-8","https://sn.coinafrique.com/categorie/vetements-homme?page=10","Pantalon kaki","8 000 CFA","Dakar Plateau, Dakar, Sénégal","https://images.coinafrique.com/thumb_4945961_uploaded_image1_1726439959.jpg","Pantalon Kaki","https://sn.coinafrique.com/annonce/vetements-homme/pantalon-kaki-4814470"
"1752731741-9","https://sn.coinafrique.com/categorie/vetements-homme?page=10","Pantalon homme","Prix sur demande","Dakar Plateau, Dakar, Sénégal","https://images.coinafrique.com/thumb_4925741_uploaded_image1_1725390305.jpg","Pantalon Kaki","https://sn.coinafrique.com/annonce/vetements-homme/pantalon-kaki-4814470"
"1752731741-10","https://sn.coinafrique.com/categorie/vetements-homme?page=10","Pantalon kaki","7 000 CFA","Dakar Plateau, Dakar, Sénégal","https://images.coinafrique.com/thumb_4930009_uploaded_image1_1725563766.jpg","Pantalon Kaki","https://sn.coinafrique.com/annonce/vetements-homme/pantalon-kaki-4814470"
"1752731741-11","https://sn.coinafrique.com/categorie/vetements-homme?page=10","Pantalon kaki","8 000 CFA","Dakar Plateau, Dakar, Sénégal","https://images.coinafrique.com/thumb_4874090_uploaded_image1_1722625585.jpg","Pantalon Kaki","https://sn.coinafrique.com/annonce/vetements-homme/pantalon-kaki-4814470"
"1752731741-12","https://sn.coinafrique.com/categorie/vetements-homme?page=10","Pantalon kaki","7 000 CFA","Dakar Plateau, Dakar, Sénégal","https://images.coinafrique.com/thumb_4866844_uploaded_image1_1722296624.jpg","Pantalon Kaki","https://sn.coinafrique.com/annonce/vetements-homme/pantalon-kaki-4814470"
"1752731754-13","https://sn.coinafrique.com/categorie/vetements-homme?page=10","Ensemble short","9 000 CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_5380938_uploaded_image1_1750267359.jpg","Ensemble short","https://sn.coinafrique.com/annonce/vetements-homme/ensemble-short-4864161"
"1752731754-14","https://sn.coinafrique.com/categorie/vetements-homme?page=10","Ensemble short","15 000 CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_5387379_uploaded_image1_1750639839.jpg","Ensemble short","https://sn.coinafrique.com/annonce/vetements-homme/ensemble-short-4864161"
"1752731754-15","https://sn.coinafrique.com/categorie/vetements-homme?page=10","Ensemble short","10 000 CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_5360719_uploaded_image1_1749061877.jpg","Ensemble short","https://sn.coinafrique.com/annonce/vetements-homme/ensemble-short-4864161"
"1752731754-16","https://sn.coinafrique.com/categorie/vetements-homme?page=10","Ensemble short","9 000 CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_5359855_uploaded_image1_1749031695.jpg","Ensemble short","https://sn.coinafrique.com/annonce/vetements-homme/ensemble-short-4864161"
